first_name,last_name,title,release_year,category_id
PENELOPE,GUINESS,"ACADEMY DINOSAUR",2006,6
PENELOPE,GUINESS,"ANACONDA CONFESSIONS",2006,2
PENELOPE,GUINESS,"ANGELS LIFE",2006,13
PENELOPE,GUINESS,"BULWORTH COMMANDMENTS",2006,10
PENELOPE,GUINESS,"CHEAPER CLYDE",2006,14
PENELOPE,GUINESS,"COLOR PHILADELPHIA",2006,4
PENELOPE,GUINESS,"ELEPHANT TROJAN",2006,11
PENELOPE,GUINESS,"GLEAMING JAWBREAKER",2006,15
PENELOPE,GUINESS,"HUMAN GRAFFITI",2006,10
PENELOPE,GUINESS,"KING EVOLUTION",2006,8
PENELOPE,GUINESS,"LADY STAGE",2006,11
PENELOPE,GUINESS,"LANGUAGE COWBOY",2006,3
PENELOPE,GUINESS,"MULHOLLAND BEAST",2006,9
PENELOPE,GUINESS,"OKLAHOMA JUMANJI",2006,13
PENELOPE,GUINESS,"RULES HUMAN",2006,11
PENELOPE,GUINESS,"SPLASH GUMP",2006,8
PENELOPE,GUINESS,"VERTIGO NORTHWEST",2006,5
PENELOPE,GUINESS,"WESTWARD SEABISCUIT",2006,4
PENELOPE,GUINESS,"WIZARD COLDBLOODED",2006,12
NICK,WAHLBERG,"ADAPTATION HOLES",2006,6
NICK,WAHLBERG,"APACHE DIVINE",2006,8
NICK,WAHLBERG,"BABY HALL",2006,9
NICK,WAHLBERG,"BULL SHAWSHANK",2006,1
NICK,WAHLBERG,"CHAINSAW UPTOWN",2006,14
NICK,WAHLBERG,"CHISUM BEHAVIOR",2006,8
NICK,WAHLBERG,"DESTINY SATURDAY",2006,13
NICK,WAHLBERG,"DRACULA CRYSTAL",2006,4
NICK,WAHLBERG,"FIGHT JAWBREAKER",2006,2
NICK,WAHLBERG,"FLASH WARS",2006,13
NICK,WAHLBERG,"GILBERT PELICAN",2006,4
NICK,WAHLBERG,"GOODFELLAS SALUTE",2006,14
NICK,WAHLBERG,"HAPPINESS UNITED",2006,9
NICK,WAHLBERG,"INDIAN LOVE",2006,8
NICK,WAHLBERG,"JEKYLL FROGMEN",2006,13
NICK,WAHLBERG,"JERSEY SASSY",2006,3
NICK,WAHLBERG,"LIAISONS SWEET",2006,16
NICK,WAHLBERG,"LUCKY FLYING",2006,12
NICK,WAHLBERG,"MAGUIRE APACHE",2006,8
NICK,WAHLBERG,"MALLRATS UNITED",2006,5
NICK,WAHLBERG,"MASK PEACH",2006,13
NICK,WAHLBERG,"ROOF CHAMPION",2006,10
NICK,WAHLBERG,"RUSHMORE MERMAID",2006,5
NICK,WAHLBERG,"SMILE EARRING",2006,16
NICK,WAHLBERG,"WARDROBE PHANTOM",2006,7
ED,CHASE,"ALONE TRIP",2006,12
ED,CHASE,"ARMY FLINTSTONES",2006,6
ED,CHASE,"ARTIST COLDBLOODED",2006,15
ED,CHASE,"BOONDOCK BALLROOM",2006,16
ED,CHASE,"CADDYSHACK JEDI",2006,1
ED,CHASE,"COWBOY DOOM",2006,9
ED,CHASE,"EVE RESURRECTION",2006,13
ED,CHASE,"FORREST SONS",2006,1
ED,CHASE,"FRENCH HOLIDAY",2006,6
ED,CHASE,"FROST HEAD",2006,4
ED,CHASE,"HALLOWEEN NUTS",2006,6
ED,CHASE,"HUNTER ALTER",2006,6
ED,CHASE,"IMAGE PRINCESS",2006,15
ED,CHASE,"JEEPERS WEDDING",2006,4
ED,CHASE,"LUCK OPUS",2006,7
ED,CHASE,"NECKLACE OUTBREAK",2006,7
ED,CHASE,"PLATOON INSTINCT",2006,13
ED,CHASE,"SPICE SORORITY",2006,7
ED,CHASE,"WEDDING APOLLO",2006,6
ED,CHASE,"WEEKEND PERSONAL",2006,14
ED,CHASE,"WHALE BIKINI",2006,9
ED,CHASE,"YOUNG LANGUAGE",2006,6
JENNIFER,DAVIS,"ANACONDA CONFESSIONS",2006,2
JENNIFER,DAVIS,"ANGELS LIFE",2006,13
JENNIFER,DAVIS,"BAREFOOT MANCHURIAN",2006,1
JENNIFER,DAVIS,"BED HIGHBALL",2006,6
JENNIFER,DAVIS,"BLADE POLISH",2006,7
JENNIFER,DAVIS,"BOONDOCK BALLROOM",2006,16
JENNIFER,DAVIS,"GHOSTBUSTERS ELF",2006,2
JENNIFER,DAVIS,"GREEDY ROOTS",2006,7
JENNIFER,DAVIS,"HANOVER GALAXY",2006,12
JENNIFER,DAVIS,"INSTINCT AIRPORT",2006,15
JENNIFER,DAVIS,"JUMANJI BLADE",2006,13
JENNIFER,DAVIS,"NATIONAL STORY",2006,6
JENNIFER,DAVIS,"OKLAHOMA JUMANJI",2006,13
JENNIFER,DAVIS,"POSEIDON FOREVER",2006,15
JENNIFER,DAVIS,"RAIDERS ANTITRUST",2006,6
JENNIFER,DAVIS,"RANDOM GO",2006,14
JENNIFER,DAVIS,"REDS POCUS",2006,12
JENNIFER,DAVIS,"SILVERADO GOLDFINGER",2006,14
JENNIFER,DAVIS,"SPLASH GUMP",2006,8
JENNIFER,DAVIS,"SUBMARINE BED",2006,5
JENNIFER,DAVIS,"TREASURE COMMAND",2006,11
JENNIFER,DAVIS,"UNFORGIVEN ZOOLANDER",2006,14
JOHNNY,LOLLOBRIGIDA,"AMADEUS HOLY",2006,1
JOHNNY,LOLLOBRIGIDA,"BANGER PINOCCHIO",2006,12
JOHNNY,LOLLOBRIGIDA,"BONNIE HOLOCAUST",2006,6
JOHNNY,LOLLOBRIGIDA,"CHITTY LOCK",2006,7
JOHNNY,LOLLOBRIGIDA,"COMMANDMENTS EXPRESS",2006,11
JOHNNY,LOLLOBRIGIDA,"CONEHEADS SMOOCHY",2006,7
JOHNNY,LOLLOBRIGIDA,"DADDY PITTSBURGH",2006,5
JOHNNY,LOLLOBRIGIDA,"DAISY MENAGERIE",2006,14
JOHNNY,LOLLOBRIGIDA,"ENOUGH RAGING",2006,16
JOHNNY,LOLLOBRIGIDA,"ESCAPE METROPOLIS",2006,16
JOHNNY,LOLLOBRIGIDA,"FIRE WOLVES",2006,10
JOHNNY,LOLLOBRIGIDA,"FRONTIER CABIN",2006,13
JOHNNY,LOLLOBRIGIDA,"GOODFELLAS SALUTE",2006,14
JOHNNY,LOLLOBRIGIDA,"GRAIL FRANKENSTEIN",2006,1
JOHNNY,LOLLOBRIGIDA,"GROOVE FICTION",2006,15
JOHNNY,LOLLOBRIGIDA,"HALL CASSIDY",2006,3
JOHNNY,LOLLOBRIGIDA,"HEAVENLY GUN",2006,12
JOHNNY,LOLLOBRIGIDA,"KRAMER CHOCOLATE",2006,15
JOHNNY,LOLLOBRIGIDA,"LOVE SUICIDES",2006,11
JOHNNY,LOLLOBRIGIDA,"METAL ARMAGEDDON",2006,6
JOHNNY,LOLLOBRIGIDA,"PACIFIC AMISTAD",2006,6
JOHNNY,LOLLOBRIGIDA,"PATTON INTERVIEW",2006,11
JOHNNY,LOLLOBRIGIDA,"POCUS PULP",2006,6
JOHNNY,LOLLOBRIGIDA,"RIDGEMONT SUBMARINE",2006,13
JOHNNY,LOLLOBRIGIDA,"RINGS HEARTBREAKERS",2006,1
JOHNNY,LOLLOBRIGIDA,"SMILE EARRING",2006,16
JOHNNY,LOLLOBRIGIDA,"SOLDIERS EVOLUTION",2006,14
JOHNNY,LOLLOBRIGIDA,"STAR OPERATION",2006,15
JOHNNY,LOLLOBRIGIDA,"SUNRISE LEAGUE",2006,2
BETTE,NICHOLSON,"ANTITRUST TOMATOES",2006,1
BETTE,NICHOLSON,"BANG KWAI",2006,8
BETTE,NICHOLSON,"BEAST HUNCHBACK",2006,4
BETTE,NICHOLSON,"BIKINI BORROWERS",2006,2
BETTE,NICHOLSON,"CALENDAR GUNFIGHT",2006,9
BETTE,NICHOLSON,"COAST RAINBOW",2006,6
BETTE,NICHOLSON,"COLDBLOODED DARLING",2006,14
BETTE,NICHOLSON,"CROSSROADS CASUALTIES",2006,2
BETTE,NICHOLSON,"DROP WATERFRONT",2006,15
BETTE,NICHOLSON,"IGBY MAKER",2006,16
BETTE,NICHOLSON,"KRAMER CHOCOLATE",2006,15
BETTE,NICHOLSON,"LANGUAGE COWBOY",2006,3
BETTE,NICHOLSON,"LESSON CLEOPATRA",2006,15
BETTE,NICHOLSON,"LIBERTY MAGNIFICENT",2006,15
BETTE,NICHOLSON,"MULHOLLAND BEAST",2006,9
BETTE,NICHOLSON,"POTLUCK MIXED",2006,2
BETTE,NICHOLSON,"SPEED SUIT",2006,16
BETTE,NICHOLSON,"TITANIC BOONDOCK",2006,2
BETTE,NICHOLSON,"TRADING PINOCCHIO",2006,15
BETTE,NICHOLSON,"WYOMING STORM",2006,13
GRACE,MOSTEL,"ANGELS LIFE",2006,13
GRACE,MOSTEL,"ANONYMOUS HUMAN",2006,15
GRACE,MOSTEL,"ARACHNOPHOBIA ROLLERCOASTER",2006,11
GRACE,MOSTEL,"BERETS AGENT",2006,1
GRACE,MOSTEL,"BREAKING HOME",2006,13
GRACE,MOSTEL,"COMMAND DARLING",2006,9
GRACE,MOSTEL,"CONFESSIONS MAGUIRE",2006,7
GRACE,MOSTEL,"DAZED PUNK",2006,10
GRACE,MOSTEL,"DECEIVER BETRAYED",2006,7
GRACE,MOSTEL,"DESTINATION JERK",2006,7
GRACE,MOSTEL,"EXCITEMENT EVE",2006,1
GRACE,MOSTEL,"GASLIGHT CRUSADE",2006,11
GRACE,MOSTEL,"HELLFIGHTERS SIERRA",2006,9
GRACE,MOSTEL,"INSTINCT AIRPORT",2006,15
GRACE,MOSTEL,"MALKOVICH PET",2006,4
GRACE,MOSTEL,"NECKLACE OUTBREAK",2006,7
GRACE,MOSTEL,"OCTOBER SUBMARINE",2006,4
GRACE,MOSTEL,"OPEN AFRICAN",2006,14
GRACE,MOSTEL,"POSEIDON FOREVER",2006,15
GRACE,MOSTEL,"SAINTS BRIDE",2006,7
GRACE,MOSTEL,"SAVANNAH TOWN",2006,7
GRACE,MOSTEL,"SCISSORHANDS SLUMS",2006,9
GRACE,MOSTEL,"SLEEPLESS MONSOON",2006,2
GRACE,MOSTEL,"SLEEPY JAPANESE",2006,13
GRACE,MOSTEL,"STING PERSONAL",2006,13
GRACE,MOSTEL,"TOWN ARK",2006,9
GRACE,MOSTEL,"TRACY CIDER",2006,2
GRACE,MOSTEL,"TREATMENT JEKYLL",2006,7
GRACE,MOSTEL,"WAR NOTTING",2006,9
GRACE,MOSTEL,"WARLOCK WEREWOLF",2006,3
MATTHEW,JOHANSSON,"BABY HALL",2006,9
MATTHEW,JOHANSSON,"CAMPUS REMEMBER",2006,1
MATTHEW,JOHANSSON,"CLONES PINOCCHIO",2006,12
MATTHEW,JOHANSSON,"CONQUERER NUTS",2006,7
MATTHEW,JOHANSSON,"CROWDS TELEMARK",2006,14
MATTHEW,JOHANSSON,"DANCES NONE",2006,1
MATTHEW,JOHANSSON,"DRIVING POLISH",2006,12
MATTHEW,JOHANSSON,"DURHAM PANKY",2006,15
MATTHEW,JOHANSSON,"FLASH WARS",2006,13
MATTHEW,JOHANSSON,"HANGING DEEP",2006,7
MATTHEW,JOHANSSON,"INDIAN LOVE",2006,8
MATTHEW,JOHANSSON,"LIGHTS DEER",2006,4
MATTHEW,JOHANSSON,"LOSER HUSTLER",2006,15
MATTHEW,JOHANSSON,"MALKOVICH PET",2006,4
MATTHEW,JOHANSSON,"RUNNER MADIGAN",2006,12
MATTHEW,JOHANSSON,"SCHOOL JACKET",2006,9
MATTHEW,JOHANSSON,"SCORPION APOLLO",2006,7
MATTHEW,JOHANSSON,"SUGAR WONKA",2006,2
MATTHEW,JOHANSSON,"TOMORROW HUSTLER",2006,4
MATTHEW,JOHANSSON,"VANISHING ROCKY",2006,12
JOE,SWANK,"ANYTHING SAVANNAH",2006,11
JOE,SWANK,"BIRCH ANTITRUST",2006,12
JOE,SWANK,"CHOCOLAT HARRY",2006,8
JOE,SWANK,"CHOCOLATE DUCK",2006,9
JOE,SWANK,"CROOKED FROGMEN",2006,3
JOE,SWANK,"CURTAIN VIDEOTAPE",2006,10
JOE,SWANK,"DALMATIONS SWEDEN",2006,7
JOE,SWANK,"HORROR REIGN",2006,16
JOE,SWANK,"LAWLESS VISION",2006,2
JOE,SWANK,"LEBOWSKI SOLDIERS",2006,7
JOE,SWANK,"MAJESTIC FLOATS",2006,6
JOE,SWANK,"PACIFIC AMISTAD",2006,6
JOE,SWANK,"PERDITION FARGO",2006,15
JOE,SWANK,"PRIMARY GLASS",2006,1
JOE,SWANK,"REEF SALUTE",2006,11
JOE,SWANK,"RUNNER MADIGAN",2006,12
JOE,SWANK,"SMILE EARRING",2006,16
JOE,SWANK,"SNATCHERS MONTEZUMA",2006,4
JOE,SWANK,"SUNRISE LEAGUE",2006,2
JOE,SWANK,"SWEETHEARTS SUSPECTS",2006,3
JOE,SWANK,"TIES HUNGER",2006,3
JOE,SWANK,"TRAFFIC HOBBIT",2006,16
JOE,SWANK,"UNTOUCHABLES SUNRISE",2006,6
JOE,SWANK,"WATERFRONT DELIVERANCE",2006,1
JOE,SWANK,"WILD APOLLO",2006,13
CHRISTIAN,GABLE,"ACADEMY DINOSAUR",2006,6
CHRISTIAN,GABLE,"ALABAMA DEVIL",2006,11
CHRISTIAN,GABLE,"CROOKED FROGMEN",2006,3
CHRISTIAN,GABLE,"DIVINE RESURRECTION",2006,10
CHRISTIAN,GABLE,"DRAGONFLY STRANGERS",2006,13
CHRISTIAN,GABLE,"GOLDFINGER SENSIBILITY",2006,7
CHRISTIAN,GABLE,"JAWBREAKER BROOKLYN",2006,12
CHRISTIAN,GABLE,"JEEPERS WEDDING",2006,4
CHRISTIAN,GABLE,"LIFE TWISTED",2006,5
CHRISTIAN,GABLE,"LORD ARIZONA",2006,1
CHRISTIAN,GABLE,"MOD SECRETARY",2006,6
CHRISTIAN,GABLE,"PREJUDICE OLEANDER",2006,4
CHRISTIAN,GABLE,"PUNK DIVORCE",2006,2
CHRISTIAN,GABLE,"REAP UNFAITHFUL",2006,11
CHRISTIAN,GABLE,"SHAKESPEARE SADDLE",2006,15
CHRISTIAN,GABLE,"TROUBLE DATE",2006,16
CHRISTIAN,GABLE,"USUAL UNTOUCHABLES",2006,9
CHRISTIAN,GABLE,"VACATION BOONDOCK",2006,14
CHRISTIAN,GABLE,"WATERFRONT DELIVERANCE",2006,1
CHRISTIAN,GABLE,"WEDDING APOLLO",2006,6
CHRISTIAN,GABLE,"WIZARD COLDBLOODED",2006,12
CHRISTIAN,GABLE,"WON DARES",2006,12
ZERO,CAGE,"CANYON STOCK",2006,2
ZERO,CAGE,"DANCES NONE",2006,1
ZERO,CAGE,"ENCINO ELF",2006,10
ZERO,CAGE,"ENDING CROWDS",2006,13
ZERO,CAGE,"GANDHI KWAI",2006,8
ZERO,CAGE,"GODFATHER DIARY",2006,13
ZERO,CAGE,"HANDICAP BOONDOCK",2006,1
ZERO,CAGE,"HONEY TIES",2006,15
ZERO,CAGE,"HORN WORKING",2006,2
ZERO,CAGE,"IMAGE PRINCESS",2006,15
ZERO,CAGE,"JERSEY SASSY",2006,3
ZERO,CAGE,"LOSER HUSTLER",2006,15
ZERO,CAGE,"MEET CHOCOLATE",2006,9
ZERO,CAGE,"MOD SECRETARY",2006,6
ZERO,CAGE,"MOONWALKER FOOL",2006,10
ZERO,CAGE,"OLEANDER CLUE",2006,12
ZERO,CAGE,"RACER EGG",2006,7
ZERO,CAGE,"STORY SIDE",2006,1
ZERO,CAGE,"STRANGERS GRAFFITI",2006,11
ZERO,CAGE,"THIN SAGEBRUSH",2006,6
ZERO,CAGE,"TOOTSIE PILOT",2006,3
ZERO,CAGE,"UPTOWN YOUNG",2006,3
ZERO,CAGE,"VELVET TERMINATOR",2006,5
ZERO,CAGE,"WEST LION",2006,7
ZERO,CAGE,"WORKER TARZAN",2006,16
KARL,BERRY,"ALLEY EVOLUTION",2006,9
KARL,BERRY,"ALONE TRIP",2006,12
KARL,BERRY,"ARABIA DOGMA",2006,11
KARL,BERRY,"ARIZONA BANG",2006,4
KARL,BERRY,"BOUND CHEAPER",2006,4
KARL,BERRY,"BOWFINGER GABLES",2006,11
KARL,BERRY,"BUNCH MINDS",2006,7
KARL,BERRY,"CLEOPATRA DEVIL",2006,13
KARL,BERRY,"CONNECTICUT TRAMP",2006,14
KARL,BERRY,"DARES PLUTO",2006,2
KARL,BERRY,"DATE SPEED",2006,8
KARL,BERRY,"DAY UNFAITHFUL",2006,13
KARL,BERRY,"DOORS PRESIDENT",2006,2
KARL,BERRY,"FURY MURDER",2006,3
KARL,BERRY,"HARDLY ROBBERS",2006,6
KARL,BERRY,"HIGHBALL POTTER",2006,9
KARL,BERRY,"HOLES BRANNIGAN",2006,15
KARL,BERRY,"INDEPENDENCE HOTEL",2006,6
KARL,BERRY,"LEATHERNECKS DWARFS",2006,16
KARL,BERRY,"LUCKY FLYING",2006,12
KARL,BERRY,"MONTEREY LABYRINTH",2006,11
KARL,BERRY,"NOVOCAINE FLIGHT",2006,15
KARL,BERRY,"OKLAHOMA JUMANJI",2006,13
KARL,BERRY,"PERFECT GROOVE",2006,5
KARL,BERRY,"REAP UNFAITHFUL",2006,11
KARL,BERRY,"REUNION WITCHES",2006,7
KARL,BERRY,"SMOKING BARBARELLA",2006,6
KARL,BERRY,"STAGECOACH ARMAGEDDON",2006,1
KARL,BERRY,"SWEDEN SHINING",2006,5
KARL,BERRY,"TELEMARK HEARTBREAKERS",2006,2
KARL,BERRY,"VIRGINIAN PLUTO",2006,6
UMA,WOOD,"ALONE TRIP",2006,12
UMA,WOOD,"ANTITRUST TOMATOES",2006,1
UMA,WOOD,"ATTRACTION NEWTON",2006,13
UMA,WOOD,"BOONDOCK BALLROOM",2006,16
UMA,WOOD,"CABIN FLASH",2006,3
UMA,WOOD,"CHINATOWN GLADIATOR",2006,13
UMA,WOOD,"CLASH FREDDY",2006,2
UMA,WOOD,"CLUELESS BUCKET",2006,1
UMA,WOOD,"DAISY MENAGERIE",2006,14
UMA,WOOD,"DRIVER ANNIE",2006,15
UMA,WOOD,"FRIDA SLIPPER",2006,9
UMA,WOOD,"GALAXY SWEETHEARTS",2006,4
UMA,WOOD,"GRINCH MASSAGE",2006,10
UMA,WOOD,"GROUNDHOG UNCUT",2006,5
UMA,WOOD,"HOMEWARD CIDER",2006,6
UMA,WOOD,"INCH JET",2006,2
UMA,WOOD,"LEATHERNECKS DWARFS",2006,16
UMA,WOOD,"LEGALLY SECRETARY",2006,3
UMA,WOOD,"LIFE TWISTED",2006,5
UMA,WOOD,"LION UNCUT",2006,5
UMA,WOOD,"LOLITA WORLD",2006,8
UMA,WOOD,"METAL ARMAGEDDON",2006,6
UMA,WOOD,"MODEL FISH",2006,3
UMA,WOOD,"MOONWALKER FOOL",2006,10
UMA,WOOD,"MOTIONS DETAILS",2006,11
UMA,WOOD,"REBEL AIRPORT",2006,12
UMA,WOOD,"RIDER CADDYSHACK",2006,15
UMA,WOOD,"SNOWMAN ROLLERCOASTER",2006,2
UMA,WOOD,"SOLDIERS EVOLUTION",2006,14
UMA,WOOD,"SPLASH GUMP",2006,8
UMA,WOOD,"SPLENDOR PATTON",2006,3
UMA,WOOD,"STEEL SANTA",2006,4
UMA,WOOD,"TORQUE BOUND",2006,7
UMA,WOOD,"WEDDING APOLLO",2006,6
UMA,WOOD,"ZHIVAGO CORE",2006,11
VIVIEN,BERGEN,"CLASH FREDDY",2006,2
VIVIEN,BERGEN,"CRANES RESERVOIR",2006,15
VIVIEN,BERGEN,"DIRTY ACE",2006,10
